# Сеансы, снятые вручную со страниц сети. Формат:
# кинотеатр;адрес;фильм;дата;время;цена;зал
# Этот файл — источник наравне с парсерами: то, что робот не смог достать,
# можно дописать руками, и оно попадёт на карту.
Киномакс-Жулебино;ул. Генерала Кузнецова, д. 22, ТРЦ «Миля», Москва;Одиссея;2026-08-08;12:00;800;2D
Киномакс-Жулебино;ул. Генерала Кузнецова, д. 22, ТРЦ «Миля», Москва;Одиссея;2026-08-08;13:50;800;2D
Киномакс-Жулебино;ул. Генерала Кузнецова, д. 22, ТРЦ «Миля», Москва;Одиссея;2026-08-08;14:40;1640;ВИП
Киномакс-Жулебино;ул. Генерала Кузнецова, д. 22, ТРЦ «Миля», Москва;Одиссея;2026-08-08;15:30;800;2D
Киномакс-Жулебино;ул. Генерала Кузнецова, д. 22, ТРЦ «Миля», Москва;Одиссея;2026-08-08;17:20;840;2D
Киномакс-Жулебино;ул. Генерала Кузнецова, д. 22, ТРЦ «Миля», Москва;Одиссея;2026-08-08;18:10;1640;ВИП
Киномакс-Жулебино;ул. Генерала Кузнецова, д. 22, ТРЦ «Миля», Москва;Одиссея;2026-08-08;19:00;840;2D
Киномакс-Жулебино;ул. Генерала Кузнецова, д. 22, ТРЦ «Миля», Москва;Одиссея;2026-08-08;20:50;800;2D
Киномакс-Жулебино;ул. Генерала Кузнецова, д. 22, ТРЦ «Миля», Москва;Одиссея;2026-08-08;21:50;1640;ВИП
Киномакс-Жулебино;ул. Генерала Кузнецова, д. 22, ТРЦ «Миля», Москва;Одиссея;2026-08-08;22:30;800;2D
Киномакс-Рига Молл;Новорижское шоссе, 5 км от МКАД, ТК «Рига Молл»;Одиссея;2026-08-08;10:10;760;2D
Киномакс-Рига Молл;Новорижское шоссе, 5 км от МКАД, ТК «Рига Молл»;Одиссея;2026-08-08;11:10;2100;ВИП
Киномакс-Рига Молл;Новорижское шоссе, 5 км от МКАД, ТК «Рига Молл»;Одиссея;2026-08-08;12:10;2100;ВИП
Киномакс-Рига Молл;Новорижское шоссе, 5 км от МКАД, ТК «Рига Молл»;Одиссея;2026-08-08;13:40;980;2D
Киномакс-Рига Молл;Новорижское шоссе, 5 км от МКАД, ТК «Рига Молл»;Одиссея;2026-08-08;14:40;2100;ВИП
Киномакс-Рига Молл;Новорижское шоссе, 5 км от МКАД, ТК «Рига Молл»;Одиссея;2026-08-08;15:50;2100;ВИП
Киномакс-Рига Молл;Новорижское шоссе, 5 км от МКАД, ТК «Рига Молл»;Одиссея;2026-08-08;17:10;1030;2D
Киномакс-Рига Молл;Новорижское шоссе, 5 км от МКАД, ТК «Рига Молл»;Одиссея;2026-08-08;18:20;2100;ВИП
Киномакс-Рига Молл;Новорижское шоссе, 5 км от МКАД, ТК «Рига Молл»;Одиссея;2026-08-08;19:20;2100;ВИП
Киномакс-Рига Молл;Новорижское шоссе, 5 км от МКАД, ТК «Рига Молл»;Одиссея;2026-08-08;20:50;1030;2D
Киномакс-Рига Молл;Новорижское шоссе, 5 км от МКАД, ТК «Рига Молл»;Одиссея;2026-08-08;21:50;2100;ВИП
Киномакс-Рига Молл;Новорижское шоссе, 5 км от МКАД, ТК «Рига Молл»;Одиссея;2026-08-08;22:50;2100;ВИП
Киномакс-Релакс Пушкино;г. Пушкино, Красноармейское шоссе, стр. 104, ТРЦ «Пушкино Парк»;Одиссея;2026-08-08;10:20;630;Комфорт
Киномакс-Релакс Пушкино;г. Пушкино, Красноармейское шоссе, стр. 104, ТРЦ «Пушкино Парк»;Одиссея;2026-08-08;11:20;760;Комфорт
Киномакс-Релакс Пушкино;г. Пушкино, Красноармейское шоссе, стр. 104, ТРЦ «Пушкино Парк»;Одиссея;2026-08-08;13:50;760;Комфорт
Киномакс-Релакс Пушкино;г. Пушкино, Красноармейское шоссе, стр. 104, ТРЦ «Пушкино Парк»;Одиссея;2026-08-08;14:50;760;Комфорт
Киномакс-Релакс Пушкино;г. Пушкино, Красноармейское шоссе, стр. 104, ТРЦ «Пушкино Парк»;Одиссея;2026-08-08;15:50;800;Комфорт
Киномакс-Релакс Пушкино;г. Пушкино, Красноармейское шоссе, стр. 104, ТРЦ «Пушкино Парк»;Одиссея;2026-08-08;17:20;800;Комфорт
Киномакс-Релакс Пушкино;г. Пушкино, Красноармейское шоссе, стр. 104, ТРЦ «Пушкино Парк»;Одиссея;2026-08-08;18:20;800;Комфорт
Киномакс-Релакс Пушкино;г. Пушкино, Красноармейское шоссе, стр. 104, ТРЦ «Пушкино Парк»;Одиссея;2026-08-08;19:20;800;Комфорт
Киномакс-Релакс Пушкино;г. Пушкино, Красноармейское шоссе, стр. 104, ТРЦ «Пушкино Парк»;Одиссея;2026-08-08;20:50;800;Комфорт
Киномакс-Релакс Пушкино;г. Пушкино, Красноармейское шоссе, стр. 104, ТРЦ «Пушкино Парк»;Одиссея;2026-08-08;21:50;800;Комфорт
Киномакс-Релакс Пушкино;г. Пушкино, Красноармейское шоссе, стр. 104, ТРЦ «Пушкино Парк»;Одиссея;2026-08-08;22:50;800;Комфорт
Киномакс-XL;Дмитровское шоссе, д. 89, ТРЦ «XL Дмитровка», Москва;Одиссея;2026-08-08;11:10;600;ВИП
Киномакс-XL;Дмитровское шоссе, д. 89, ТРЦ «XL Дмитровка», Москва;Одиссея;2026-08-08;14:40;800;ВИП
Киномакс-XL;Дмитровское шоссе, д. 89, ТРЦ «XL Дмитровка», Москва;Одиссея;2026-08-08;16:00;800;ВИП XL
Киномакс-XL;Дмитровское шоссе, д. 89, ТРЦ «XL Дмитровка», Москва;Одиссея;2026-08-08;18:10;800;ВИП
Киномакс-XL;Дмитровское шоссе, д. 89, ТРЦ «XL Дмитровка», Москва;Одиссея;2026-08-08;19:30;800;ВИП XL
Киномакс-XL;Дмитровское шоссе, д. 89, ТРЦ «XL Дмитровка», Москва;Одиссея;2026-08-08;21:40;800;ВИП
Киномакс-XL;Дмитровское шоссе, д. 89, ТРЦ «XL Дмитровка», Москва;Одиссея;2026-08-08;23:00;800;ВИП XL
Киномакс-Солярис;ул. Перерва, д. 43, корп. 1, ТРЦ «БУМ», Москва;Одиссея;2026-08-08;11:30;490;2D
Киномакс-Солярис;ул. Перерва, д. 43, корп. 1, ТРЦ «БУМ», Москва;Одиссея;2026-08-08;15:00;540;2D
Киномакс-Солярис;ул. Перерва, д. 43, корп. 1, ТРЦ «БУМ», Москва;Одиссея;2026-08-08;16:00;540;2D
Киномакс-Солярис;ул. Перерва, д. 43, корп. 1, ТРЦ «БУМ», Москва;Одиссея;2026-08-08;18:30;590;2D
Киномакс-Солярис;ул. Перерва, д. 43, корп. 1, ТРЦ «БУМ», Москва;Одиссея;2026-08-08;19:30;590;2D
Киномакс-Солярис;ул. Перерва, д. 43, корп. 1, ТРЦ «БУМ», Москва;Одиссея;2026-08-08;22:00;590;2D
Киномакс-Солярис;ул. Перерва, д. 43, корп. 1, ТРЦ «БУМ», Москва;Одиссея;2026-08-08;23:00;590;2D
